Gene,Allele,Locus Name,Allele Name,Synonyms of Allele,Phenoptype,Chromosome,Marker Type,Mutant Type,
cpf-3,--,cupuliformis-3, , ,Cotyledons adnate to form a cup; no primary leaves develop; maintained via heterozygotes., ,Morph, ,
cps,--,compactilis, , ,"Plant smaller at all stages; leaves somewhat wider, lightly blistered and darker green.", ,Morph, ,
cpt,--,compact, , ,"Highly branched, compact plant; lax stems; pale, smaller leaves; reduced fruit set.",8,Morph,SPON,
cr,--,radial crack resistance, , ,Resistance of fruit to radial cracking., ,Morph, ,
Cri,--,Crispa, , ,"Very small in all parts; poorly viable without grafting; leaves light olive green, necrotic. Cri/+ necrotic spots on pinnae centers.",7,Morph,RAD,
Crk,--,Crinkled, , ,Leaves like those of Cu but less condensed and segments dentate; homozygote lethal.,9,Morph,SPON,
crt,--,cottony-root, , ,Overgrown root hairs with cottony appearance, ,Morph,SPON,
cru,--,corrupta, ,cru1,"Smaller plant, irregular, sometimes distorted growth; spreading necrosis; firm, leathery, involuted brittle pinnae.", ,Morph, ,
cry1,--,cryptochrome 1, , ,"Hypocotls and stems are elongated, and anthocyanins reduced; seedlings are de-etiolated under blue light; phenotype more extreme in combination with phyA and phyB1.", ,Morph,RAD,
cs-2,--,corollaless-2, , ,"Apetalous; dialytic anthers; exserted stigma; self fertile, rarely sets fruits naturally.", ,Morph, ,
cta,--,contaminata, ,cta1,"Smaller, flat, broad bush; many side shoots; at end of season stems and leaf midribs turn necrotic and brittle; also reduced fertility.", ,Morph,RAD,
cta-2,--,contaminata-2, ,cta2,"Leaves 1/4 normal size; stems with corky surface, variable necrosis of vascular tissue.", ,Morph, ,
ctb,--,cotyledon tops bifurcation, , ,Bifurcation of cotyledon tops by a central vein., ,Morph,SPON,
ctr,--,citrate concentration, , ,"Low citric acid in fruit (cv. Tondo Liscio) vs. high concentration, ctr (PI 263713 = L. esculentum).", ,Morph, ,
ctr,1,citrate concentration, , , , ,Morph,SPON,
ctt,--,contracta, , ,"All shoots somewhat shortened, resulting in round bush habit; pinnae weakly serrated, plicate, and flattened; foliage somewhat lighter, and growing points are somewhat darker.", ,Morph,RAD,
ctt-2,--,contracta-2, , ,"Plant half normal size at flowering; internodes shortened; leaves are narrow, pointed and blistered.", ,Morph, ,
Cu,--,Curl, , ,Mid- and lateral veins and petiole greatly foreshortened producing crumpled leaf; homozygous viable.,2,Morph,SPON,
cu-2,--,curl-2, ,cu2,"Small, downcurled leaves; resembling Cu.", ,Morph,RAD,
cu-3,--,curl-3, , ,"Dwarf, short and thick hypocotyls, curled cotyledons, and dense curly leaves; reduced fertility.", ,Morph,SPON,
cu-3,abs,curl-3,altered brassinolide sens., ,"Similar to cu-3, no restoration by brassinolide application", ,Morph, ,
cua,--,curta, , ,"Seedling and mature plant smaller, round bush habit; internodes and leaves shortened; leaves rounded and wider.", ,Morph, ,
cul,--,culcitula, , ,"Seedlings dark green with strong anthocyanin, later foliage dark grey-green; plants reach 1/3 to 2/5  typical size; internodes very short, habit cushion-like.", ,Morph,RAD,
cup,--,cupida, ,cus,"Extremely susceptible to drought damage at all stages; leaves small, yellowish, wilting, and eventually necrotic.", ,Morph, ,
cur,--,curvifolia, , ,"Leaves twisted, yellow-green; short internodes.", ,Morph,RAD,
cv,--,curvata, ,cu,Young stem curves from node to node; dark rugose leaves; dwarf compact habit; heterozygote intermediate for some traits., ,Morph,RAD,
cv,2,curvata, ,acu,"Small plant; leaves, pinnae briefly stalked; leaf surface furrowed; older leaves strongly bent downward.", ,Morph,RAD,
cv-2,--,curvata-2, ,cv2,"Twisted cotyledons; short, rounded leaves; rugose, yellow-green pinnae.", ,Morph, ,
cva,--,conversa, , ,"Small, dense plant; variable fading of foliage.", ,Morph,RAD,
cva-2,--,conversa-2, ,cva2,"Small, compact plant, leaves, pinnae.", ,Morph, ,
cvl,--,convoluta, ,cvl1,"Small, dense plant; short internodes; pinnae of oldest leaves involuted.", ,Morph,RAD,
Cvx,--,Convexa, , ,"Seedling and mature plant with narrow convex leaves, deeply veined and tending to roll downward on margins.", ,Morph,SPON,
cy,--,cyathiformis, , ,Cotyledons united at one or both edges; lateral shoots suppressed; pinnae margins nearly entire., ,Morph,RAD,
d,--,dwarf, , ,"Shortened hypocotyl, darker, broader and shorter cotyledons; stems heavy and erect; plant compact, internodes shortened to about 2.5cm; leaves very distinct, with reduced number and size of segments; dark green color, puckered rugose surface, down-curled magins, and broader, shorter outline of whole as well as individual segments; similar reduction in size and foreshortening of inflorescence, flowers and fruit.",2,Morph,SPON,
d,+,dwarf, , ,Wild-type allele of dwarf.,2,Morph,SPON,
d,b,dwarf,broccoli, ,"Extreme dwarf; more stunted than d^x; leaves reduced to small, dark green globs of curled, rugose tissue; flowers reduced, with tiny corolla segments.",2,Morph,SPON,
d,cr,dwarf,crispata,rob^crisp,Allele of phenotype intermediate between d and d^x.,2,Morph,RAD,
d,im,dwarf, ,rob^imm,All parts foreshortened; leaves dark and rugose.,2,Morph,RAD,
d,prov2,dwarf,provisional 2,d,All parts foreshortened; leaves dark and rugose.,2,Morph,CHEM,
d,prov3,dwarf, , , ,2,Morph, ,
d,provcr-2,dwarf,crispata,d^cr,All parts foreshortened; leaves dark and rugose.,2,Morph,CHEM,
d,provcr-3,dwarf,crispata,d^cr,All parts foreshortened; leaves dark and rugose.,2,Morph,CHEM,
d,provx-2,dwarf,extreme-2,d^x,All parts foreshortened; leaves dark and rugose.,2,Morph,SPON,
d,x,dwarf,extreme, ,"Resembles dwarf (d) but more extreme in all respects; growth is very slow; all parts of plant reduced in size and most organs modified in the direction of shorter and broader shape; leaves very dark green, the surface coarsely bullate and midrid twisted; plants are moderately fertile; recessive to d and to +.",2,Morph,SPON,
d-2,--,dwarf-2, ,"rob2, rob II, d2","Shortened internodes and leaves; thick, rugose, bluish gray-green leaves; not allelic with the mimic,d1.",6,Morph,RAD,
d-3,--,dwarf-3, ,d3,"Smaller, sturdy, erect plant; all parts foreshortened; rugose and dark-green leaves.", ,Morph, ,
d-4,--,dwarf-4, ,d4,"Mildly dwarf type; broad, shortened, crowded, darker pinnae; darker flower color.", ,Morph, ,
d-5,--,dwarf-5, ,"d5, d2, M-5",Slow growing plant with normal stem and leaf proportions; semi-sterile; classification good when three weeks old., ,Morph, ,
d-6,--,dwarf-6, ,"d6, d5","Compact and small plant; rugose, and keeled pinnae, upper surface shiny dark green.", ,Morph, ,
d-7,--,dwarf-7, , ,Plants reduced to 10-12 inches tall; short internodes; leaves highly divided with strong anthocyanin., ,Morph, ,
d-8,--,dwarf-8, , ,"Plants reduced to 6-8 inches tall, short internodes; normal flowers but no fruit set in field.", ,Morph, ,
dc,--,decomposita, ,dc1,"Slender, strongly sinuous and crenate pinnae; more secondary pinnae; micromutation.", ,Morph,RAD,
dd,--,double dwarf, ,d^xx,Extremely retarded and highly modified dwarf., ,Morph,SPON,
de,--,declinata, , ,"Great reduction in size of all parts; leaves dark yellow-green, leaflets roll toward underside.", ,Morph,RAD,
deb,--,debilis, , ,"Leaves emerge yellowish; necrotic mottling, whitish, and later brown, often constricting leaves in middle.",7,Morph,RAD,
dec,--,decumbens, , ,Lax and decumbent habit; early fruiting., ,Morph,RAD,
dec-2,--,decumbens-2, ,dec2,After start of blooming plant becomes decumbent., ,Morph, ,
def,--,deformis, , ,"Seedlings normal, later leaves becoming progressively reduced, filiform, and with adnate segments; deformed flowers and reduced fertility.",6,Morph,RAD,
def,2,deformis, ,vit,Leaves become progressively more deformed with twisted filiform leaflets.,6,Morph,RAD,
def-2,--,deformis, , ,Like def; leaves deformed after flowering., ,Morph,RAD,
Del,--,Delta, , ,"Reddish-orange mature fruit color, due to inhibition of lycopene, and increase of delta-carotene.",12,Morph,SPON,
deli,--,deliquescens, , ,Early habit dense later loosely parting; shortened yellowish leaves with narrow acute segments.,8,Morph,RAD,
deli-2,--,deliquescens-2, ,deli2,Smaller compact bush; short internodes and leaves; all foliage is light yellow-green., ,Morph, ,
den,--,densa, , ,Typical spl seedlings; plant 3/4 normal size; stems and petioles strong; internodes somewhat shortened; leaf segments large and coarse; foliolules blistered; foliage color somewhat lighter., ,Morph, ,
dep,--,deprimata, , ,"Slightly depressed growth; dainty, darker leaves.", ,Morph,RAD,
depa,--,depauperata, , ,"Very small plants with short internodes; leaflets bowed, color variable, and mostly yellowish.",8,Morph,RAD,
det,--,detrimentosa, , ,"Small, weakly branched and lax plant; yellowish foliage.", ,Morph,RAD,
det,2,detrimentosa, , ,"Small, plant; dainty, pale yellow-green leaves; slender pinnae; less discoloration and premature dying than det.", ,Morph,RAD,
det-2,--,detrimentosa-2, , ,"Plants reach 1/4-1/3 normal size; cotelydons narrow and tapered; leaves are shortened, segments small, keeled, margins serrated, and dull dark grey-green.", ,Morph, ,
Df,--,Defoliator, , ,"Homozygous seedlings retarded in growth, dark green, and die early; heterozygous are viable, but leaves become necrotic and fall prematurely.", ,Morph,SPON,
dfd,--,delayed fruit deterioration, , ,Fruit softening greatly reduced; shelf life up to seven months; resistant to postharvest disease, ,Morph,SPON,
dgt,--,diageotropica, ,lz-3,Plant habit prostrate due to reduced gravitropic response; growth retarded; stems and leaves droopy; cotelydons concave.  Roots grow horizontally rather than downwards; no lateral root formation.,1,Morph,SPON,
dgt,dp,diageotropica,drooping leaf,dp,"Leaves drooping, elongate, dark green; stems weak, slender, and prostrate.",1,Morph,RAD,
Dia-2,1,Diaphorase-2, , , ,1,Isozyme,SPON,
Dia-2,2,Diaphorase-2, , , ,1,Isozyme,SPON,
Dia-3,1,Diaphorase-3, , , ,9,Isozyme,SPON,
Dia-3,2,Diaphorase-3, , , ,9,Isozyme,SPON,
Dia-4,1,Diaphorase-4, , , ,12,Isozyme,SPON,
dil,--,diluta, , ,"Leaves dull light green, small, and roughened; plants half normal size.",2,Morph,RAD,
dil-2,--,diluta-2, ,dil2,"Light colored, denser plant; short leaves, smaller pinnae.", ,Morph, ,
dim,--,diminuta, , ,"Somewhat smaller plants and leaves, shortened internodes; older leaves gray green with violet veins.", ,Morph,RAD,
dim-2,--,diminuta-2, ,dim2,"Very small plant, leaves, pinnae; much anthocyanin in hypocotyl, growth zones.", ,Morph,RAD,
dis,--,discolor, , ,"Leaf color light green with virescent growing regions, also with darker veins.",3,Morph,RAD,
dis-2,--,discolor-2, ,dis2,"Cotyledons first yellow-green, then whitish light-green; small compact plant.", ,Morph, ,
div,--,divaricata, , ,Small squarrose plant with intercostally yellowish leaves and ventrally purple.,3,Morph,RAD,
dl,--,dialytic, , ,"Large trichomes partially suppressed and distorted; stamens not united, resulting in partially reduced fruit set from self pollination; seedlings can be distinguished in the 2- or 3-leaf stage by the shortening, bending and forking of the long and intermediate hairs.",8,Morph,SPON,
dl,S,dialytic,Solanum,Dl^s,"Anthers free, but trichome modifications of original dl absent.  Expression is dominant to wild type.",8,Morph,SPON,
dlb,--,dilabens, ,dlb1,"Small, compact plant with shortened yellowish leaves.", ,Morph,RAD,
dlu,--,dilucida, , ,"Plants reach 1/8-1/6 normal size, dwarf bush habit; foliage bright light green, light yellow-green virescent; petioles, stems, veins light violet; very low fruit set.", ,Morph, ,
dm,--,dwarf modifier, ,d2,Causes extreme dwarfing., ,Morph,SPON,
dmd,--,dimidiata, , ,"Hypocotyl is strong; cotelydons are almost oval and arched downwards; internodes short and result in is small plants; leaf segments broad, coarse, and flat with 1 - 2 pairs of laterals grey-green; few foliolules develop later; corolla segments broad and flat; fruits few and  seedless;  maintained via heterozygotes.", ,Morph,RAD,
dmt,--,diminutiva, , ,"Shortened plant height and length of stem internodes, leaves, and pinnae.",4,Morph,CHEM,
dpa,--,deparca, , ,"Small seedling and mature plant; little branching; leaf lighter at base, smaller, dark green; strong anthocyanin.", ,Morph, ,
dpi,--,densipinnata, , ,"Plant 1/2-3/4 normal size; small bush habit; cotyledons narrow with tapered tip; leaves dull grey-green; leaf segments large, crowded and fewer foliolules.", ,Morph, ,
dpr,--,depravata, , ,"Cotelydons and primary leaves strongly curled; internodes and leaves shortened; young leaves very asymmetrical, later deformed with long petiole.", ,Morph, ,
dps,--,diospyros, , ,Fruit tissue is dusky orange., ,Morph,SPON,
dpy,--,dumpy, , ,"Leaves like those of d:x but internodes longer; Leaves greatly condensed, rugose, dark green; internodes somewhat foreshortened",2,Morph,SPON,
dpy,prov2,dumpy,provisional 2,dpy,Leaves like those of d:x but internodes longer.,2,Morph,CHEM,
dpy,prov3,dumpy,provisional 3,dpy,Leaves like those of d:x but internodes longer.,2,Morph,SPON,
drt,--,dwarf root, , ,Reduced root system,2,Morph,CHEM,
ds,--,dwarf sterile, , ,Stunted plants with short internodes and reduced leaves; partially male-sterile.,11,Morph,SPON,
dt,--,dilatata, ,dt1,Plant small; pinnae yellowish; veins darker with uprolled margins.,1,Morph,RAD,
dtt,--,detorta, , ,"Cotyledons epinastic, irregularly crooked, many seedlings with 3 cotyledons; plants 2/5-3/5 normal size, less erect than normal; stems crooked and leaves and pinnae disordered; pinnae partly plicate, partly spiraled.", ,Morph,RAD,
du,--,dupla, , ,"Young plants typically splendens, later reach 2/3 size; habit half erect; branching reduced, particularly in the side shoot below the first inflorescence; leaf segments broad and doubled in number with many foliolules; strong anthocyanin in shoots exposed", ,Morph,RAD,
dv,--,dwarf virescent, , ,Pale green virescent; plants always stunted.,2,Morph,SPON,
dx-2,--,extreme dwarf-2, , ,"Resembles d:x in most respects; all parts extremely shortened; plant erect with no branching, attains half normal size; leaves very rugose and bright dark green above; flowers are small.", ,Morph, ,
e,--,entire, ,b,"First true leaf undivided but serrate, mature leaves usually have reduced number of lateral segments, which have variably serrate margins; contraction indicated by crowding of lateral segments and distortion of midvein.  Parthenocarpic fruit. Fused sepals.",4,Morph,SPON,
e,2,entire, , ,"Fewer fused leaf segments and distorted midvein, entire or broad leaflets",4,Morph, ,
e,prov3,entire,provisional 3,e,Fewer leaf segments; midvein distorted,4,Morph,CHEM,
e-2,--,entire-2, , ,"Leaves with reduced numbers of segments, incompletely separated, irregularly lobed and undulate margins; cotyledons subnormal and often fused; produces few flowers of low fecundity with slender parts; calyx large, anthers deformed.",10,Morph,CHEM,
ec,--,exserted carpels, , ,Fruits vary from none to many exserted carpels., ,Morph, ,
eca,--,echinata, , ,"Early growth typically pm and later reaching 2/3-3/4 typical size; from fruit set on main stem and branches grow vertically with dense to loose bush habit, lending porcupine-like appearance.", ,Morph,RAD,
el,--,elongated, ,e,Elongated fruits as in Oxheart., ,Morph,SPON,
ela,--,elata, , ,"Plants reach 3/4 normal size; dense, erect, and bush habit; internodes shortened; leaf segments large, wide, and strongly blistered.", ,Morph, ,
ele,--,elegans, , ,"Leaves reduced, yellow-green and dainty; plants tiny",11,Morph,RAD,
ele,2,elegans, ,ang,"Reduced, sometimes chlorotic, narrow leaves; slow growth.",11,Morph,RAD,
ele-2,--,elegans-2, ,ele2,"Narrow, rounded cotyledons, margin rolled up; smaller, light yellow-green pinnae.", ,Morph, ,
elo,--,elongata, ,elo1,"Elongated, weakly branched stems, initially erect, become procumbent.", ,Morph, ,
elu,--,eluta, , ,Yellow green leaves; strong branching tendency; slight growth depression., ,Morph,RAD,
elu-2,--,eluta-2, ,elu2,"Yellow-green to light gray-green leaves; late in season strong anthocyanin in shoots, stems, and veins.", ,Morph, ,
em,--,emortua, ,em1,Small plant; reduced side branching; spreading necrosis of older leaves leading to their premature death; expression best in field., ,Morph,RAD,
en,--,ensiform, , ,Sword-shaped sepals., ,Morph,SPON,
ent,--,entire leaflet, , ,Leaflets with entire margin., ,Morph,RAD,
ep,--,easy peeling, , ,Epidermis can be peeled from fruit without pretreatment., ,Morph,RAD,
Epi,--,Epinastic, , ,"Severe epinasty of leaves, swelling of stems and petioles, prolific branching of roots.  Partially dominant.",4,Morph,SPON,
er,--,erecta, , ,Dwarf bushy plants with short internodes; shortened dark green leaves; heterozygotes intermediate., ,Morph,RAD,
er12.1,--,earliness, , , ,12,Morph, ,
er-2,--,erecta-2, , ,"Plant vigorous, branches erect, internodes slightly shortened; leaves shorter, segments smaller, keeled and blue-green at tips; many flowered.", ,Morph, ,
era,--,eramosa, ,era1,"Smaller, weakly branched plant; whitish zones in primary and later in leaves causing irregular pinnae development.",1,Morph,RAD,
Erl,--,Erectoid leaf, , ,Leaves held at acute angle on stem; partially dominant.,10,Morph, ,
Est-1,1,Esterase-1, , , ,2,Isozyme,SPON,
Est-1,2,Esterase-1, , , ,2,Isozyme,SPON,
Est-1,3,Esterase-1, , , ,2,Isozyme,SPON,
Est-1,4,Esterase-1, , , ,2,Isozyme,SPON,
Est-1,5,Esterase-1, , , ,2,Isozyme,SPON,
Est-1,n,Esterase-1, , , ,2,Isozyme,SPON,
Est-2,1,Esterase-2, , , ,9,Isozyme,SPON,
Est-3,1,Esterase-3, , , ,1,Isozyme,SPON,
Est-4,1,Esterase-4, , , ,12,Isozyme,SPON,
Est-4,2,Esterase-4, , , ,12,Isozyme,SPON,
Est-4,3,Esterase-4, , , ,12,Isozyme, ,
Est-4,4,Esterase-4, , , ,12,Isozyme,SPON,
Est-4,5,Esterase-4, , , ,12,Isozyme,SPON,
Est-4,6,Esterase-4, , , ,12,Isozyme,SPON,
Est-4,7,Esterase-4, , , ,12,Isozyme,SPON,
Est-4,8,Esterase-4, , , ,12,Isozyme,SPON,
Est-5,1,Esterase-5, , , ,2,Isozyme,SPON,
Est-6,1,Esterase-6, , , ,2,Isozyme,SPON,
Est-7,1,Esterase-7, , , ,2,Isozyme,SPON,
Est-7,2,Esterase-7, , , ,2,Isozyme,SPON,
Est-8,1,Esterase-8, , , ,10,Isozyme,SPON,
ete,--,extenuata, ,ete1,Slender shoots; slender and thick pinnae; irregular growth; poor seed set., ,Morph,RAD,
eu,--,eugenol concentration, , ,High eugenol concentration in fruit., ,Morph, ,
ex,--,exserted stigma, , ,Styles greatly elongated and stigmas exserted; on non-exserted flowers styles are twisted within anther tubes., ,Morph,SPON,
exa,--,expassa, ,exa1,Branches partially decumbent; yellowish gray green older leaves turning yellow prematurely., ,Morph, ,
exl,--,exilis, ,ex,Very small plant; tiny plicate leaves of light gray-green color; narrow cotyledons; highly sterile., ,Morph,RAD,
exs,--,excedens, ,exs1,"Smaller bush; short internodes, young leaves; older leaves leathery, and shiny.", ,Morph,RAD,
f,--,fasciated fruit, , ,"Increased number of locules, stamens, and segments of the corolla and calyx; ovary and fruit more flattened and irregular in outline.",11,Morph,SPON,
f,D,fasciated fruit,Dominant, ,Fruits many-loculed; phenotype more extreme than original allele of f;  carpels  unfused; dominant allele.,11,Morph,SPON,
fa,--,falsiflora, ,fa1,"Giant, vegetative, and highly ramified inflorescence; completely sterile.", ,Morph,RAD,
far,--,farinosa, ,far1,"Smaller, weakly branched plant; many, deeply crenate, wavy, gray to yellow-green pinnae.", ,Morph, ,
fc,--,flaccescens, , ,"Internodes and leaves shortened; cotyledons narrow, wavy, light green; plants retarded at flowering, reach 1/5 normal size; leaf segments small, dark grey-green, tending to shrivel and die early.", ,Morph, ,
fcf,--,fucatifolia, ,fcf1,"Small spreading plant; yellow or light green cotyledons, primary leaves, and lower leaves at later stages.", ,Morph,RAD,
fd,--,flecked dwarf, , ,Retarded at all stages; leaves flecked with light green.,12,Morph,RAD,
Fdh-1,1,Formate dehydrogenase-1, , , ,2,Isozyme,SPON,
Fdh-1,2,Formate dehydrogenase-1, , , ,2,Isozyme,SPON,
fe,--,fertilis, , ,"Leaves roll dorsally; fasciated flowers, fruits.", ,Morph,RAD,
fer,--,fe inefficient, , ,Severe chlorosis beginning in first true leaves due to faulty iron transport in xylem.,6,Morph, ,
Fgr,H,Fructose to glucose ratio,hirsutum, ,Ratio of fructose to glucose in fruit approx. 1.5:1; partially dominant over L. esculentum allele,4,Morph,SPON,
fgv,--,fimbriate gold virescent, , ,"Leaf fimbriate margined, ephermerally &quot;gold dust&quot; virescent.",11,Morph,SPON,
fi-2,--,filiforme-2, , ,"Phenotype like Schiemann's (1932), filiforme, equivalent to extreme wiry phenotype; cotyledons extremely narrow, grey-green; primary leaves also very narrow, later some leaves have only midveins, others with modified terminal segments and some epetiolate lateral segments;  corolla with filiform segments; internodes very short, plant height averaging 20 cm.; no fruit set, line being maintained via heterozygotes.", ,Morph, ,
fil,--,filaris, , ,"Habit strongly branched and bushy; cotyledons slightly wavy; leaves wide, rounded, and often asymmetric with elongated petiole and filiform terminal segments; inflorescence very compound, petioles narrow, and fruit elongate.", ,Morph, ,
fir,--,firma, , ,Broad blunt leaf segments; bushy cylindrical plants; foreshortened inflorescence., ,Morph,RAD,
fir-2,--,firma-2, ,fir2,"Sturdy, compact seedlings; broad, rounded, rugose and dark green pinnae; small dark flowers.", ,Morph, ,
fir-3,--,firma-3, ,fir3,"Very small, compact bush; small, dark green, and rugose pinnae.", ,Morph, ,
fis,--,fistulosiflora, , ,Corolla does not open although segments not fused., ,Morph, ,
fl,--,fleshy calyx, , ,"Sepals fleshy, often curled.", ,Morph,SPON,
fla,--,flavescens, , ,Leaves light green with few segments; variably reduced plant size.,1,Morph,RAD,
flav,--,flavida, , ,"Leaves yellowish, mottled yellowish green, and small; heterozygote intermediate for some traits.", ,Morph,RAD,
flav-2,--,flavida-2, ,flav2,"Smaller, compact bush; slender stems, many side shoots; leaves yellowish light green.", ,Morph, ,
flc,--,flacca, , ,"Leaves overwilt under dry or sunny conditions, leading to necrotic areas; plant small, erect, nearly unbranched, and later spreading.",7,Morph,RAD,
fld,--,flaccida, ,fld1,"Small, weakly branched and erect plant; darker and involuted wilty pinnae, dying prematurely.", ,Morph,RAD,
fle,--,flexifolia, ,fle1,"Very small plant, leaves with strong anthocyanin, borne at acute angle to stem in young plant.", ,Morph,RAD,
fli,--,filiform inflorescence, , ,Filiform outgrowths and cupped leaves in late or terminal inflorescences; narrow corolla., ,Morph,SPON,
fms,--,female-sterile, , ,"Distorted, poorly developed, highly sterile gynoecium; normal pollen production.", ,Morph, ,
fn,--,finely-netted, , ,All true leaves light green with slightly darker veins., ,Morph,RAD,
fp,--,fruit pox, , ,"Many small dark green spots on immature fruit, rupture prior to ripening.", ,Morph, ,
fr,--,frugalis, , ,"Small compact bush; older leaves dark-green; brittle, shiny.", ,Morph,RAD,
fra,--,fragosa, ,fra1,"Smaller, very brittle bush; broad cotyledonsc pinnae; heterozygote recognizable.", ,Morph, ,
frg,--,fragilis, ,frg1,"Smaller, erect, nearly unbranched plant; short, dull light green leaves, yellowing prematurely.", ,Morph,RAD,
fri,1,far red light insensitive, ,phyA,Insensitive to far red light; hypocotyls elongated relative to wild type under far red light.,10,Morph,CHEM,
Frl,--,FORL resistance, ,"Fr1, Fr-1",Resistance to Fusarium oxysporum f. sp. radicis- lycopersici; incompletely dominant.,9,Disease,SPON,
Frly,--,Frilly, ,Frl,Leaf with serrate undulate margins.,7,Morph,SPON,
fro,--,frondea, , ,Seedlings and plant habit and size normal; inflorescence highly proliferated; pedicels jointless; 4-parted corollae; segregation deficient in mutant homozygotes., ,Morph, ,
Frs,--,Frosty spot, ,Nec,Hypertrophic pustules along leaf veins followed by chlorosis then necrosis., ,Morph,SPON,
frt,--,fracta, , ,"Plants attain 1/4 normal size; habit upright, weakly branched; leaf margins later turned upward; foliage dark green, shoots brittle.", ,Morph,RAD,
Fs,--,Fruit stripe, , ,Fruit with dark green radial stripes opposite locules,10,Morph, ,
fsc,--,fuscatinervis, ,dkv,Leaves yellow-green; veins always darker green., ,Morph,SPON,
ft,--,fruiting temperature, , ,Fruits can set at 40 deg. F., ,Morph,SPON,
fu,--,fusiformis, , ,"Early growth habit is bushy and spindle shaped; leaves shortened, curved upwards, shiny yellowish, and paler at growing point.",4,Morph,RAD,
fua,--,fucata, ,fua1,"Smaller plant; young pinnae yellow green, darker veins; older foliage variably lighter colored.", ,Morph,RAD,
fug,--,fulgida, ,fug1,"Small plant; foliage variably whitish or yellow-green, sometimes zonally marked.", ,Morph,RAD,
ful,--,fulgens, , ,"Bright yellow virescent, older leaves becoming greener; golden yellow in field; yellow unripe fruit color.",4,Morph,RAD,
ful,2,fulgens, ,ful1^2,Foliage at all stages light-green to light yellow-green; stems and leaf mid-ribs sometimes purplish.,4,Morph,RAD,
ful-2,--,fulgens-2, ,ful2,"Small plant; short internodes; light-green foliage, yellow-green growth zones.", ,Morph, ,
ful-3,--,fulgens-3, , ,"Stunted virescentseedlings, overall brilliant yellow; closely resembling ful; mature plant bright yellow green.",3,Morph,SPON,
fus,--,fulgescens, , ,"Seedlings normal; plants normal size; foliage light green; growing points lighter; resembles, but is not allelic to ful.", ,Morph,RAD,
fv,--,flaveola, , ,"Seedlings small; leaf color light grey-green, a flowering light yellow green virescent; older leaves yellowish.", ,Morph, ,
Fw,--,Furrowed, , ,"Deeply furrowed, dark green cotyledons; severely stunted plant; homozygous inviable.",5,Morph,SPON,
fx,--,flexa, , ,"Young plants typically normal; main stem bends at start but becomes erect later, lending the plant a prostrate habit, similar to reptans(re).", ,Morph,RAD,
fy,--,field yellow, , ,Foliage yellow at all stages and under field conditions.,7,Morph,SPON,
g,--,grooved, , ,Grooved fruits., ,Morph, ,
ga,--,galbina, ,ga1,Foliage at all stages variably white-gray-yellow-normal green; environmentally sensitive., ,Morph,RAD,
ga-2,--,galbina-2, ,ga2,"Pinnae dark to light gray-green, yellow base; stems at all stages with strong anthocyanin; plant smaller in some years.", ,Morph, ,
gas,--,gamosepala, ,gas1,"Small plant; gray-to-light-green foliage; wavy, irregularly crenate and rugose pinnae; partly connate sepals.",1,Morph,RAD,
gbl,--,globula, , ,"Plants always greatly reduced; hypoctyls; extremely short internodes; strongly branched; pinnae grey-green, coarse, crooked, downward; only observed in greenhouse; no flowers developed; maintained via heterozygotes.", ,Morph,RAD,
Gdf,--,Gold fleck, , ,"Small dark green spots on immature fruit, do not rupture but turn yellow on ripe fruit.", ,Morph, ,
Ge,c,Gamete eliminator,Condine Red, ,Most gametes abort when interacting with Ge:p.,4,Morph,SPON,
Ge,n,Gamete eliminator,neutral, ,neutral allele found in most genotypes,4,Morph, ,
Ge,p,Gamete eliminator,Pearson, ,Most gametes abort while interacting with Ge:p.,4,Morph,SPON,
gf,--,green flesh, , ,Persistent chlorophyll giving ripe fruit purplish-brown color.,8,Morph,SPON,
gf,2,green flesh, , ,same as gf,8,Morph,SPON,
gf,3,green flesh, , ,same as gf,8,Morph,SPON,
gf,4,green flesh, , ,same as gf,8,Morph,SPON,
gf,5,green flesh, , ,same as gf,8,Morph,SPON,
gfl,--,globular flower, , ,"Corolla tips remain attached, resulting in globular form.", ,Morph,SPON,
gfo,--,grandifolia, , ,Habit flatter; cotyledons and primary leaves variable whitish; leaves and segments large and light grey-green., ,Morph, ,
gh,--,ghost, ,ab,"Incomplete chlorophyll deficiency, starting green, later breaking to white.",11,Morph,SPON,
gh-2,--,ghost-2, , ,"Cotelydons yellowish; most leaves variegated; sectors can be either white, grey-green or dark green; phenotype resembles albescent (alb) more closely than the original ghost (gh) mutant; no response to grafting onto normal rootstock.", ,Morph,CHEM,
gi,--,gibberosa, , ,"Seedling relatively coarse; plant size normal; main stem semi-prostrate with reduced branching; leaves. mostly with 2 pairs lateral segments, very few foliolules, segments almost as broad as long, some terminal segments fused with laterals; less hairy stems and petioles.", ,Morph,RAD,
gib-1,--,gibberellin deficient-1, , ,"Gibberellin deficient; greatly reduced germination, and dwarf growth habit; leafs dark green, thick, and wrinkled; application of exogenous GA restores normal phenotype.",6,Morph,CHEM,
gib-2,--,gibberellin deficient-2, , ,"Gibberellin deficient; greatly reduced germination, and dwarf growth habit; leafs dark green, thick, and wrinkled; application of exogenous GA restores normal phenotype.",1,Morph,CHEM,
gib-3,--,gibberellin-deficient-3, , ,"Gibberellin deficient; greatly reduced germination, and dwarf growth habit; leafs dark green, thick, and wrinkled; application of exogenous GA restores normal phenotype.", ,Morph,CHEM,
