Gene	Locus Name	Phenoptype	Chromosome
ele	elegans	Reduced, sometimes chlorotic, narrow leaves; slow growth.	11
el	elongated	Elongated fruits as in Oxheart.	 
elo	elongata	Elongated, weakly branched stems, initially erect, become procumbent.	 
elu-2	eluta-2	Yellow-green to light gray-green leaves; late in season strong anthocyanin in shoots, stems, and veins.	 
elu	eluta	Yellow green leaves; strong branching tendency; slight growth depression.	 
em	emortua	Small plant; reduced side branching; spreading necrosis of older leaves leading to their premature death; expression best in field.	 
en	ensiform	Sword-shaped sepals.	 
ent	entire leaflet	Leaflets with entire margin.	 
ep	easy peeling	Epidermis can be peeled from fruit without pretreatment.	 
Epi	Epinastic	Severe epinasty of leaves, swelling of stems and petioles, prolific branching of roots.  Partially dominant.	4
er12.1	earliness	 	12
er-2	erecta-2	Plant vigorous, branches erect, internodes slightly shortened; leaves shorter, segments smaller, keeled and blue-green at tips; many flowered.	 
era	eramosa	Smaller, weakly branched plant; whitish zones in primary and later in leaves causing irregular pinnae development.	1
er	erecta	Dwarf bushy plants with short internodes; shortened dark green leaves; heterozygotes intermediate.	 
Erl	Erectoid leaf	Leaves held at acute angle on stem; partially dominant.	10
Est-1	Esterase-1	 	2
Est-2	Esterase-2	 	9
Est-3	Esterase-3	 	1
Est-4	Esterase-4	 	12
Est-5	Esterase-5	 	2
Est-6	Esterase-6	 	2
Est-7	Esterase-7	 	2
Est-8	Esterase-8	 	10
ete	extenuata	Slender shoots; slender and thick pinnae; irregular growth; poor seed set.	 
eu	eugenol concentration	High eugenol concentration in fruit.	 
exa	expassa	Branches partially decumbent; yellowish gray green older leaves turning yellow prematurely.	 
ex	exserted stigma	Styles greatly elongated and stigmas exserted; on non-exserted flowers styles are twisted within anther tubes.	 
exl	exilis	Very small plant; tiny plicate leaves of light gray-green color; narrow cotyledons; highly sterile.	 
exs	excedens	Smaller bush; short internodes, young leaves; older leaves leathery, and shiny.	 
fa	falsiflora	Giant, vegetative, and highly ramified inflorescence; completely sterile.	 
far	farinosa	Smaller, weakly branched plant; many, deeply crenate, wavy, gray to yellow-green pinnae.	 
fcf	fucatifolia	Small spreading plant; yellow or light green cotyledons, primary leaves, and lower leaves at later stages.	 
fc	flaccescens	Internodes and leaves shortened; cotyledons narrow, wavy, light green; plants retarded at flowering, reach 1/5 normal size; leaf segments small, dark grey-green, tending to shrivel and die early.	 
fd	flecked dwarf	Retarded at all stages; leaves flecked with light green.	12
Fdh-1	Formate dehydrogenase-1	 	2
fe	fertilis	Leaves roll dorsally; fasciated flowers, fruits.	 
fer	fe inefficient	Severe chlorosis beginning in first true leaves due to faulty iron transport in xylem.	6
f	fasciated fruit	Fruits many-loculed; phenotype more extreme than original allele of f;  carpels  unfused; dominant allele.	11
f	fasciated fruit	Increased number of locules, stamens, and segments of the corolla and calyx; ovary and fruit more flattened and irregular in outline.	11
Fgr	Fructose to glucose ratio	Ratio of fructose to glucose in fruit approx. 1.5:1; partially dominant over L. esculentum allele	4
fgv	fimbriate gold virescent	Leaf fimbriate margined, ephermerally &quot;gold dust&quot; virescent.	11
fi-2	filiforme-2	Phenotype like Schiemann's (1932), filiforme, equivalent to extreme wiry phenotype; cotyledons extremely narrow, grey-green; primary leaves also very narrow, later some leaves have only midveins, others with modified terminal segments and some epetiolate lateral segments;  corolla with filiform segments; internodes very short, plant height averaging 20 cm.; no fruit set, line being maintained via heterozygotes.	 
fil	filaris	Habit strongly branched and bushy; cotyledons slightly wavy; leaves wide, rounded, and often asymmetric with elongated petiole and filiform terminal segments; inflorescence very compound, petioles narrow, and fruit elongate.	 
fir-2	firma-2	Sturdy, compact seedlings; broad, rounded, rugose and dark green pinnae; small dark flowers.	 
fir-3	firma-3	Very small, compact bush; small, dark green, and rugose pinnae.	 
fir	firma	Broad blunt leaf segments; bushy cylindrical plants; foreshortened inflorescence.	 
fis	fistulosiflora	Corolla does not open although segments not fused.	 
fla	flavescens	Leaves light green with few segments; variably reduced plant size.	1
flav-2	flavida-2	Smaller, compact bush; slender stems, many side shoots; leaves yellowish light green.	 
flav	flavida	Leaves yellowish, mottled yellowish green, and small; heterozygote intermediate for some traits.	 
flc	flacca	Leaves overwilt under dry or sunny conditions, leading to necrotic areas; plant small, erect, nearly unbranched, and later spreading.	7
fld	flaccida	Small, weakly branched and erect plant; darker and involuted wilty pinnae, dying prematurely.	 
fle	flexifolia	Very small plant, leaves with strong anthocyanin, borne at acute angle to stem in young plant.	 
fl	fleshy calyx	Sepals fleshy, often curled.	 
fli	filiform inflorescence	Filiform outgrowths and cupped leaves in late or terminal inflorescences; narrow corolla.	 
fms	female-sterile	Distorted, poorly developed, highly sterile gynoecium; normal pollen production.	 
fn	finely-netted	All true leaves light green with slightly darker veins.	 
fp	fruit pox	Many small dark green spots on immature fruit, rupture prior to ripening.	 
fra	fragosa	Smaller, very brittle bush; broad cotyledonsc pinnae; heterozygote recognizable.	 
fr	frugalis	Small compact bush; older leaves dark-green; brittle, shiny.	 
frg	fragilis	Smaller, erect, nearly unbranched plant; short, dull light green leaves, yellowing prematurely.	 
fri	far red light insensitive	Insensitive to far red light; hypocotyls elongated relative to wild type under far red light.	10
Frl	FORL resistance	Resistance to Fusarium oxysporum f. sp. radicis- lycopersici; incompletely dominant.	9
Frly	Frilly	Leaf with serrate undulate margins.	7
fro	frondea	Seedlings and plant habit and size normal; inflorescence highly proliferated; pedicels jointless; 4-parted corollae; segregation deficient in mutant homozygotes.	 
Frs	Frosty spot	Hypertrophic pustules along leaf veins followed by chlorosis then necrosis.	 
frt	fracta	Plants attain 1/4 normal size; habit upright, weakly branched; leaf margins later turned upward; foliage dark green, shoots brittle.	 
fsc	fuscatinervis	Leaves yellow-green; veins always darker green.	 
Fs	Fruit stripe	Fruit with dark green radial stripes opposite locules	10
ft	fruiting temperature	Fruits can set at 40 deg. F.	 
fua	fucata	Smaller plant; young pinnae yellow green, darker veins; older foliage variably lighter colored.	 
fu	fusiformis	Early growth habit is bushy and spindle shaped; leaves shortened, curved upwards, shiny yellowish, and paler at growing point.	4
fug	fulgida	Small plant; foliage variably whitish or yellow-green, sometimes zonally marked.	 
ful-2	fulgens-2	Small plant; short internodes; light-green foliage, yellow-green growth zones.	 
ful-3	fulgens-3	Stunted virescentseedlings, overall brilliant yellow; closely resembling ful; mature plant bright yellow green.	3
ful	fulgens	Bright yellow virescent, older leaves becoming greener; golden yellow in field; yellow unripe fruit color.	4
ful	fulgens	Foliage at all stages light-green to light yellow-green; stems and leaf mid-ribs sometimes purplish.	4
fus	fulgescens	Seedlings normal; plants normal size; foliage light green; growing points lighter; resembles, but is not allelic to ful.	 
fv	flaveola	Seedlings small; leaf color light grey-green, a flowering light yellow green virescent; older leaves yellowish.	 
Fw	Furrowed	Deeply furrowed, dark green cotyledons; severely stunted plant; homozygous inviable.	5
fx	flexa	Young plants typically normal; main stem bends at start but becomes erect later, lending the plant a prostrate habit, similar to reptans(re).	 
fy	field yellow	Foliage yellow at all stages and under field conditions.	7
ga-2	galbina-2	Pinnae dark to light gray-green, yellow base; stems at all stages with strong anthocyanin; plant smaller in some years.	 
ga	galbina	Foliage at all stages variably white-gray-yellow-normal green; environmentally sensitive.	 
gas	gamosepala	Small plant; gray-to-light-green foliage; wavy, irregularly crenate and rugose pinnae; partly connate sepals.	1
gbl	globula	Plants always greatly reduced; hypoctyls; extremely short internodes; strongly branched; pinnae grey-green, coarse, crooked, downward; only observed in greenhouse; no flowers developed; maintained via heterozygotes.	 
Gdf	Gold fleck	Small dark green spots on immature fruit, do not rupture but turn yellow on ripe fruit.	 
Ge	Gamete eliminator	Most gametes abort when interacting with Ge:p.	4
Ge	Gamete eliminator	Most gametes abort while interacting with Ge:p.	4
Ge	Gamete eliminator	neutral allele found in most genotypes	4
gf	green flesh	Persistent chlorophyll giving ripe fruit purplish-brown color.	8
gf	green flesh	same as gf	8
gfl	globular flower	Corolla tips remain attached, resulting in globular form.	 
gfo	grandifolia	Habit flatter; cotyledons and primary leaves variable whitish; leaves and segments large and light grey-green.	 
g	grooved	Grooved fruits.	 
gh-2	ghost-2	Cotelydons yellowish; most leaves variegated; sectors can be either white, grey-green or dark green; phenotype resembles albescent (alb) more closely than the original ghost (gh) mutant; no response to grafting onto normal rootstock.	 
gh	ghost	Incomplete chlorophyll deficiency, starting green, later breaking to white.	11
gib-1	gibberellin deficient-1	Gibberellin deficient; greatly reduced germination, and dwarf growth habit; leafs dark green, thick, and wrinkled; application of exogenous GA restores normal phenotype.	6
gib-2	gibberellin deficient-2	Gibberellin deficient; greatly reduced germination, and dwarf growth habit; leafs dark green, thick, and wrinkled; application of exogenous GA restores normal phenotype.	1
gib-3	gibberellin-deficient-3	Gibberellin deficient; greatly reduced germination, and dwarf growth habit; leafs dark green, thick, and wrinkled; application of exogenous GA restores normal phenotype.	 
gib-3	gibberellin-deficient-3	Gibberellin deficient; greatly reduced germination, and dwarf growth habit; leafs dark green, thick, and wrinkled; application of exogenous GA restores normal phenotype.  More extreme allele than gib-3.	 
gi	gibberosa	Seedling relatively coarse; plant size normal; main stem semi-prostrate with reduced branching; leaves. mostly with 2 pairs lateral segments, very few foliolules, segments almost as broad as long, some terminal segments fused with laterals; less hairy stems and petioles.	 
gil	gilva	Yellow cotyledons; highly variable ratios.	 
gl-2	glauca-2	Short internodes; small, dull, light gray-green leaves.	 
gla	glaucicolor	Flat dense bush habit, strongly sidebranched; internodes shortened; foliage dull light grey-green; shoot tips with much anthocyanin; flowers small.	 
glau-2	glaucescens-2	Smaller plant; leaves dull gray-green; yellow-green growth zones.	 
glau	glaucescens	Leaves shortened, dull green to yellowish gray-green; small upright habit.	8
glb-2	globularis-2	Dense, rounded bush; very short internodes; many side shoots; poor fruit set.	 
glb	globularis	Internodes and leaves shortened; leaves densely pinnate; yellow tinged.	 
glc-2	glaucophylla-2	Some pinnae larger, broader; pinnae light-green with lighter flecks.	 
glc-3	glaucophylla-3	Small plant and leaves of dull light grey-green.	 
glc	glaucophylla	Small plant; leaves light yellow or gray green, shortened.	 
glf	globiformis	Very small, irregular bush; all plant parts reduced; many side shoots; multibranched inflorescences; young heterozygotes recognizable.	 
glg	galapagos light green	Leaves pale gray-green, darker veins; plant small	8
gl	glauca	Leaf segments narrow, acute yellow-green; virescent.	 
glm	glomerata	Seedlings normal; young plant with stronger anthocyanin; plants 1/3-2/3 normal size; shoots become necrotic at fruiting, resulting in condensed habit; later some branches become normal.	 
glo-2	globosa-2	Very compact, rounded bush; many side shoots; short internodes; small flowers, fewer clusters.	 
glo-3	globosa-3	Full sized erect bush; half sized, slender pinnae.	 
glo	globosa	Internodes short; leaves short, pale green; incompletely dominant	4
glo	globosa	Leaves tend to roll toward upper side, dull gray-light green; shortened internodes; excessively branched.	4
glu	glutinosa	Dark green, shiny fruit with sticky epidermis; poor germination.	 
gm	gamosepalous	Calyx and corolla segments tending to be connivent.	 
Got-1	Glutamate oxaloacetate transaminase-1	 	4
Got-2	Glutamate oxaloacetate transaminase-2	 	7
Got-3	Glutamate oxaloacetate transaminase-3	 	7
Got-4	Glutamate oxaloacetate transaminase-4	 	8
Gp	Gamete promoter	Strongly increased fertilization of gametes carrying it.	9
gq	grotesque	Irregular androecium; pistil variably twisted, elongated, ridged, or lobed.	 
gra-2	gracilis-2	Very small plant, pinnae, short internodes and leaves.	 
gra-3	gracilis-3	Plant very small, erect, nearly unbranched; short internodes and leaves; pinnae and seedlings smaller.	 
grc	gracillama	Smaller, weakly branched, half-erect plant; yellow-green, slightly involuted pinnae.	 
grf	grandifructa	Broad, lax habit; fewer, large, flattened fruit; heterozygote intermediate.	 
Gr	Green ripe	Fruit flesh turns slowly to yellowish green, remains firm; resembles gf, except that center of fruit turns red.	 
Gr	Green ripe	Resembles gf, except that center of fruit turns red.	 
grl-2	gracilenta-2	Slender, pointed, pale green cotyledons; primary leaves delayed; dainty foliage; yellowish shoot tips.	 
grl	gracilenta	Smaller, erect, weakly branched plant; large pinnae, close together, irregularly yellow green, normal green veins.	 
grn	granulosa	Base of large, multicellular  trichomes greatly enlarged; associated chlorophyll deficiency and lack of vigor may be pleiotropic.	 
gro	grossa	Cotyledons often more than 2; cotyledons and primary leaf segments short and broad, segments fewer, light grey-green; plants 2/3 normal height, upright, weakly branched; fruit and seed set reduced.	 
grs	grisea	Smaller, light yellow green plant; dark gray-green growth zones.	 
gs	green stripe	Irregular longitudinal green stripes in epidermis of unripe fruit; retaininng chlorophyll for longer period during ripening, and eventually assuming paler color in fully ripe fruit; changes limited to epidermis.  Striping may be observed on stem under conditions of high humidity and low light; heterozygotes exhibit some faint striping on fruit, but scored as a recessive.	7
gt	gametophytic factor	Reduced effectivity of female gametes.	 
Gx	Gibberellin-exserted	Gibberellin-stimulated exsertion of style.	 
ha	hastata	Slender, long, pointed cotyledons; short leaves, with 2 pairs of slender, pointed pinnae; small, flat, dense bush.	 
he-2	heteroidea-2	Lax, low bush; slender stems, short internodes; small, keeled pinnae.	 
he	heteroidea	Small plant; internodes shortened; leaflets somewhat narrowed; older leaves glossy, brittle, and light green.	 
Hero	Heterodera rostochiensis resistance	Resistance to potato cyst nematode (Globodera rostochiensis).	4
hg	heterogemma	Small, lax plant; first inflorescence abnormal, numerous fasciated buds, elongated, unbranched peduncle.	 
h	hairs absent	Long trichomes absent except on hypocotyl and at growing point; heterozygote is intermediate.	10
hi	hilara	Small plant, proportionately reduced; irregularly crenate and rugose and light-dark green patterned pinnae.	9
hl-2	hairless-2	All herbage hairless; stems brittle	 
hl	hairless	All herbage hairless; stems brittle	11
hl	hairless	All types of hairs suppressed except for a few of the glandular type, which lack the chloroplasts normally present; presence of the large multicellular trichome bases imparts a granular or rough appearance to the stems; in contrast to h/h, hypocotyl is glabrous; stamens lacking hairs, tend to be dialytic; plant weak and extremely brittle.	11
hl	hairless	Smaller, weakly pubescent plant; dark-green leaves. Curved upwards to involuted.	11
hp-1	high pigment-1	Chlorophyll, carotenoids, ascorbic acid content of fruit intensified.	2
hp-1	high pigment-1	Similar to hp-1, but more extreme  phenotype.	2
hp-2	high pigment-2	Immature fruit color normal; darker green color appears as fruit develops, then persists until onset of ripening, high chlorophyll compared to wild type  or hp-1.	1
hp-2	high pigment-2	Similar to hp-1; enhances all pigments of green and mature red fruits; in presence of u^+ allele, immature fruit are completely dark green.	1
hp-2	high pigment-2	Similar to hp-2.	1
hp-3	high pigment-3	Increased accumulation of carotenoids.	 
Hr	Hirsute	Long hairs on upper leaf surfaces.	8
Hrt	Hirtum	Increased density of large trichomes; incompletely dominant.	7
hs	hairless style	Style lack hairs.	 
ht	hastate	Primary and mature leaves narrow, elongate, and entire, fewer lobed; abortive and deformed flowers.	 
hy	homogeneous yellow	All vegetative parts yellow in all stages.	10
I-2	Immunity to Fusarium wilt-2	Resistance to Fusarium oxysporum f. lycopersici race 2.	11
I-3	Immunity to Fusarium wilt-3	Resistance to Fusarium oxysporum f. lycopersici race 3.	7
I-4	Immunity to Fusarium wilt-4	Resistance to Fusarium oxysporum race 2.	2
I-5	Immunity to Fusarium wilt-5	Resistance to Fusarium oxysporum race 2.	2
I-6	Immunity to Fusarium wilt-6	Resistance to Fusarium oxysporum race 2.	10
I-7	Immunity to Fusarium wilt-7	Resistance to Fusarium oxysporum race 3.	 
ic-2	inclinata-2	Many slender side shoots; short leaves; narrow, smaller pinnae.	 
ica	icana	Plants reach 3/4 typical size; habit denser with grey-green aspect, revealing some whitish-green of leaf under-surfaces; segments separate with light areas in younger leaves, partly fused, dirty yellow-grey in later leaves.	 
ic	inclinata	Small bush; short internodes, leaves; older leaves epinastic, yellowish.	 
icn	incana	Small plant, slow growing; whitish seedling and mature leaves latter with prominent purpling.	10
ida	inordinata	Seedling typical pm; habit erect, irregular bush with less branching; some leaves with 2 pairs of lateral segments, others unsegmented, in later growth becoming normal; term segments almost cordiform; foliolules strongly blistered; foliage color brilliant dark green.	 
Idh-1	Isocitrate dehydrogenase-1	 	1
id	indehiscens	Large pinnae; connate sepals; fruit irregularly cracked. (phenotype similar to cleistogamous).	11
ig-2	ignava-2	Small plant; smaller leaves and pinnae of lighter color; short internodes.	 
ig-3	ignava-3	Cotyledons small, narrow; lax, flat bush; sturdy shoots, yellowish tips in field; large pinnae.	 
ig	ignava	Dwarf upright, little branched; leaves relatively large, light green, bleaching to white; growth retarded (1/4 size)	7
I	Immunity to Fusarium wilt	Resistance to Fusarium oxysporum f. lycopersici.	7
im-2	impatiens-2	Small, flat bush; leaves short, small rugose, necrotic at tips; drought sensition.	 
imb-2	imbecilla-2	Light green cotyledons, dark veins; smaller, lax plant; short, yellowish to light green leaves.	 
imb	imbecilla	Plant weak with few branches; younger leaves yellow-green then when older turning light green.	1
im	impatiens	Small, lax plant; reduced side shoots; darker, blue-green foliage wilts in strong sun and wind.	 
imp	impedita	Smaller, weak plant; leaves chlorotic at margins, like imp;dia but plant larger.	 
imp	impedita	Smaller, weak plant; leaves chlorotic at margins; plant smaller than imp:eg.	 
in-2	indiga-2	Narrow, gray-green cotyledons; smaller plant; short internodes.	 
in-3	indiga-3	Small plant; smaller pinnae; reduced branching; inflorescences close together and numerous.	 
ina	inflexa	Lax growth, becoming partially decumbent.	 
inc-2	incurva-2	Smaller plant; short internodes and leaves; long, narrow, keeled and brownish-green pinnae.	 
inc	incurva	Leaf segments weakly curved, undulate margins; stems, leaf veins and inflorescence crooked.	6
inf	informa	Tiny plant with very short internodes; leaves small, plicate, and strongly down-curved.	5
ini	inquieta	Small, proportionately reduced, variable plant; young pinnae involuted, lighter colored; large trichomes absent.	11
ino	involuta	Smaller, variable, cylindrical bush; short internodes; involuted pinnae.	 
inr	integer	Primary leaves almost undivided; long petioles; broad, rugose pinnae; few secondary pinnae.	 
ins	inconstans	Small, weakly branched plant; phenotype, including leaf size, variable from year to year.	 
inta	integrifolia	Lax, high bush; short leaves; rounded, crowded pinnae.	 
inv	invalida	Small, dainty plants; irregular chlorotic flecks, later leaves deformed.	1
inx-2	introflexa-2	Plants diminutive in all respects; keeled to rolled, wilty pinnae.	 
Ip	Intense pigment	Dark pigmentation of the unripe fruit.  Flowers deep orange-yellow with extra corolla segments (similar to Bco).	 
irr	irregularis	Leaves shortened, irregularly veined, dark green, tinged yellow; leaves erect on stem and stems swollen at leaf nodes; leaves, stems and inflorescences twisted.	1
ita	inquinata	Young leaves in midseason develop small necrotic flecks, later coalescing into large ones; variable expressivity.	 
Itm	Intumescences	Development of tumorous outgrowths on leaves and stems; heterozygote intermediate.	7
j-2	jointless-2	Jointless elongate pedicel; teratological calyx; proliferated inflorescence; elongate fruit.	12
j-2	jointless-2	Jointless pedicel, with incomplete gene action.  Pedicel joints with normal form, but do not separate when fruits ripen.  Referred to as the 'arthritic' gene.	12
Jau	Jaundiced	Yellow-green seedlings and young plants; homozygous lethal	1
j	jointless	Normal, jointed pedicels	11
j	jointless	The normal pedicel joint, with swelling and abscission layer is absent; fruits separate at the juncture with the calyx; leafy or indeterminate growth of the inflorescence, suppressed in combination with sp (self-pruning).	11
jug	jugata	Fasciated stems and fruits; short internodes; inflorescence almost sterile.	 
jug	jugata	Fasciated stems, flowers, fruits, more extreme than jug.	 
(K)	 	Inhibits modifiers; permitting expression of tangerine gene; interacts with yellow fruit flesh gene.	 
l-2	lutescent-2	Premature yellowing of older leaves; yellowish unripe fruit.	10
Lac	Lacciniate	Leaf margins deeply incised, segments narrow.	6
lae	laesa	Small bush; axillary sprouts later necrotic; primary leaves dainty.	 
La	Lanceolate	Leaves simple, limited to one small, elongated leaflet; margins entire; stems slender and excessively branched; cotyledons frequently fused; fruit small; homozygous inviable (shoot growth normally produces only a hypocotyl with little if any leaf  tissue).	7
lan	languida	Plant size and habit typical pm; until fruiting, variably light green virescent, later typical pm.	 
lap	lamprochlora	Small, lax plant; short, shiny leaves; end pinnae curved upwards.	 
lat	lata	Habit broad at first; growth much depressed in field.	 
lax	laxus	Plant lax, weakly branched; slender shoots; smaller, slightly rounded pinnae.	 
Lc	Locule number	Locule number is reduced	2?
le	lembiformis	Prostrate, smaller plant, proportionately reduced; keeled or involuted yellowish pinnae, ventrally purplish.	 
lep	leprosa	Smaller, proportionately reduced plant; rapidly spreading necrosis on all older pinnae.	 
lg-2	light green-2	Cotyledons light yellow; leaves pale green; classification sometimes difficult.	 
lg-3	light green-3	Light green cotyledons, leaves; former fade to yellow, latter to pale-green.	 
lg-4	light green-4	Yellow-green cotyledons, light green leaves.	 
lg-5	light green-5	Foliage uniformly light green	7
lg	light-green	Light green foliage.	10
li	limbrata	Seedling development variably reduced; first leaves slightly deformed with terminal segments broader at tip, in early stages pinnae tend to be finer, more strongly plicate, margins curled upward, and yellow-green.  These characters disappear in mature plant.	 
liv	livida	Plant erect, near normal size; cotyledons narrow, light grey-green, white-spotted; leaf segments long, narrow, slightly notched, blunt, dull grey-green; shoot tips bluish with anthocyanin.	 
l	lutescent	Cotyledons and first true leaves turn yellow when the seedlingsa re 4-6 weeks old; as plants grow, the older leaves progressively yellow and abscise prematurely, the growing tips and immature leaves remaining green; stigmas yellow and fruit pigmentation reduced.	8
l	lutescent	Phenotype similar to original lutescent.	8
l	lutescent	Yellowish unripe fruits; premature yellowing of the leaves.	8
Ln	Lanata	Resembles Wo:m but hairs concentrated on stem; all 3 genotypes viable and distinguishable.	3
Ln	Lanata	resembles Wo:m but is more hairy; all 3 genotypes viable and distinguishable.	3
loa	low acid	Low titratable fruit acidity.	 
loc	locule number increased	Locule number increased.	 
lo	locule number reduced	Reduced locule number.	2
lop	longipes	Small, somewhat spreading plant; broad, weak gray-green pinnae; long petioles; variable expression.	 
Lpg	Lapageria	Leaves small, dark green, with obtuse extremities and a glossy, concave, slightly bullate surface; reduced hairiness; flowers campanulate; stamens dialytic; homozygote more extreme phenotype and completely sterile.	1
ls	lateral suppresser	Few or no axillary branches; corolla suppressed; partially male sterile.	7
ls	lateral suppresser	Few or no axillary branches; corolla suppressed; partially male sterile	7
lt-2	laeta-2	Dainty, light green foliage; shoot tips with yellowish pinnae and in late season has bluish veins, petioles.	 
ltf	latifolia	Cotyledons and pinnae extremely broad proportioned.	7
lt	laeta	Smaller, weakly branched plant; light gray-green foliage; growing points, later entire plant, yellow-green.	 
luc-2	lucida-2	Smaller, lax bush; short stems; small, light green leaves.	 
luc-3	lucida-3	Plant and leaves small, light green to light olive.	 
luc	lucida	Leaves bright green, yellow-green at growing point.	 
lu	luteola	Light yellow corolla.  .	1
lur	lurida	Yellow-green cotelydons and primary leaves; dull light green later foliage.	 
lut-2	lutea-2	Primary leaves flecked yellow-green; pinnae dull light green, yellowing early.	 
lut-3	lutea-3	Cotyledons yellowish light green, small plant and leaves of dull light green.	 
lut	lutea	Leaves yellow-green, darker veins; virescent.	9
lux	luxurians	Young plant larger, fewer side shoots; erect, long internodes.	 
Lv	Leveillula taurica resistance	Resistance to Leveillula taurica powdery mildew.	12
Lx	Lax	Elongate, acute-segmented, pendent leaves.	2
lyr	lyrate	First leaves entire and undivided; later fan shaped and deeply lobed; female-sterile.  Notes: calyx greatly enlarged;  heterozygotes have the leaf phenotype but not sterility.	5
lz-2	lazy-2	Plant habit strongly prostrate due to reversed geotropic response of shoots (roots normal).	5
lz	lazy	Normal seedlings, 3 weeks later become strongly geotropic; weak branching.	 
m-2	mottled-2	Many small chlorotic spots on leaves; plant stunted; temperature-dependent.	6
M-3	Mottled-3	Variable sectoring for chlorophyll deficiency; homozygous lethal.	 
maa	macra	Branching inhibited, erect habit; leaf segments and flowers reduced size.	 
mac	maculata	Small plant; necrosis on upper or lower leaf surface spreading from margin.	 
mad	marcida	Small dark green plant with strong wilting of upper leaves.	 
Mae-1	Malic enzyme-1	Allele of S. lycopersicoides, slightly retarded from '+'.	5
mal	maculosa	Young plant leaves have irregular, yellowish light green flecks, disappear later.	 
ma	macrocarpa	Leaves clearly longer; fruit large, smooth.	 
marm-2	marmorata-2	Cotyledons variably white, yellow, yellow-green or green with variegated true leaves.	 
mar	marcescens	Small plant; leaves dark-green, lightly wilting.	 
marm	marmorata	Marbling of several tones of white and light green on leaves, stronger expression in greenhouse than in field.	9
mat	matura	Lax, flat bush, retarded in growth; short leaves; half-sized pinnae.	 
mc	macrocalyx	Calyx variable in size, but always larger than normal, exceeding corolla in length and often bladdery in appearance; corolla subnormal in development and rarely spread at anthesis; pedicel joint arthritic; inflorescence indeterminant.	5
mcn	maculonecrotic	Seedling 2/3 normal size with virescence, yellow spots becoming necrotic, mature leaves often deformed, especially mid-region, also virescent at maturity.	3
mcr	multicolor	Seedling typical spl; plant 3/4 size; habit spreading; foliage color yellow green early to dark midveins with necrotic spots later, finally with variable whitish-yellow-green aspect.	 
mcs	macrosepala	Size and habit normal; inflorescence elongate, indeterminate; corolla enlarged; closed, but opening when touched; calyx with similar features;  older leaves uncurled to reveal undersides. Note: calyx segments fused.	 
Mdh-1	Malate dehydrogenase-1	 	3
Mdh-2	Malate dehydrogenase-2	 	 
Mdh-4	Malate dehydrogenase-4	 	12
med	mediocris	Smaller plant, proportionately reduced.	 
mel	melongenoida	Sometimes lax habit; oval fruit.	 
Me	Mouse ears	Leaves 3-4 pinnately compound with clavate segments; shortened internodes; homozygous viable; incompletely dominant.	2
men	mendosa	Seedlings variable size; plant reaches half normal size; leaves always deformed, segments reduced, curled, very blistered; flowers deformed, style exserted from bud stage.	 
mes	methyl salicylate concentration	High levels of methyl salicylate in fruit of certain lives.	 
mf	multiformis	Growth always retarded; thin branches; internodes and leaves shortened, segments small, oval, almost entire; very few foliolules, foliage starts grey-green, later dull green.	 
mgn	marginal necrotic	Seedling 1/4 normal size; cotyledons and leaves yellowish, becoming necrotic first at tips and margins; mature plant subnormal in size and leaves with brown necrotic blotches.	2
Mi-3	Meloidogyne incognita resistance-3	Resistance to Mi-breaking strains of Meloidogyne incognita, including at high temperatures.	12
Mi-4	Meloidogyne incognita resistance-4	Heat stable resistance to Meloidogyne incognita and M. javanica	 
Mi-5	Meloidogyne incognita resistance-5	Heat stable resistance to root knot nematodes.	 
Mi-6	Meloidogyne incognita resistance-6	Heat stable resistance to root knot nematodes.	 
Mi-7	Meloidogyne incognita resistance-7	Resistance to root knot nematodes, including strains virulent on Mi.	 
Mi-8	Meloidogyne incognita resistance-8	Resistance to root knot nematodes, including strains virulent on Mi.	 
Mi-9	Meloidogyne incognita resistance-9	Heat stable resistance to root knot nematodes, including M. incognita, M. arenaria, and M. javanica.	6
mia	minuscula	Seedlings small; nearly no branches, erect habit; leaf segments small, keeled, dull dark grey-green; inflorescence proportionately large.	 
mic	microcarpa	Leaves, stems marked in gray-green; lighter yellow petals, uprolled margins; ridged or yellow-fissured fruits.	 
Mi	Meloidogyne incognita resistance	High level resistance to root-knot nematode species, including M. incognita, M. arenaria, and M. javanica.  Resistance breaks down at soil temperatures above 28 deg. C.  Also confers resistance to potato aphid and whitefly.	6
min	minutula	Growth always retarded; short, weak branches; internodes and leaves very shortened; stems grey-blue; foliage light grey-green.	 
mlt	malate concentration	Low malic acid levels in fruit versus high levels in mltD.	 
m	mottled	Cotyledons and all leaves speckled with light yellow-green spots, rather evenly distributed; leaflets narrow, irregular and distorted.	2
mn-2	minuta-2	Very small plant, pinnae; short leaves.	 
mn	minuta	Small, upright and almost unbranched plants; shortened leaves prematurely yellowing.	11
mnt	miniature	Small plant; reduced branching and fruit set.	11
mnx	extreme miniature	Severely stunted chlorina mutant with 1cm internodes; flowers only after grafting on normal.	 
mo-B	modifier of B	Modifier of B.  Increases content of beta carotene in presence of B.	 
Mo(I)-2	Modifier-2 of I	Exerts less effect of I than Mo(I).	 
Moi	Modifier inducer	Permits expression of Mo(I) and MO(I)-2 only in xx genotype.	 
Mo(I)	Modifier of I	Heterozygote overdominant.	 
